customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,cluster
MM-17260,3336,4,1314.02,2,2,2,6,1
MM-17920,3175,11,3794.07,5,5,4,14,0
MM-18055,3229,8,2749.87,3,4,3,10,0
MM-18280,3253,9,775.41,3,5,1,9,0
MN-17935,3202,6,2477.94,4,3,3,10,1
MO-17500,3240,4,922.49,3,2,1,6,1
MO-17800,3272,8,1687.03,2,4,2,8,0
MO-17950,3348,2,154.29,2,1,1,4,1
MP-17470,3887,7,3206.12,1,4,4,9,3
MP-17965,3240,9,3983.65,3,5,4,12,0
MP-18175,3184,9,5087.93,5,5,5,15,0
MR-17545,3293,4,639.1800000000001,2,2,1,5,1
MS-17365,3441,10,7443.68,1,5,5,11,2
MS-17530,3602,4,475.65999999999997,1,2,1,4,3
MS-17710,3581,6,1613.39,1,3,2,6,3
MS-17770,3289,9,3144.67,2,5,4,11,0
MS-17830,3620,4,370.34000000000003,1,2,1,4,3
MS-17980,3194,6,855.12,5,3,1,9,1
MT-17815,3217,6,2890.14,4,3,4,11,1
MT-18070,3371,4,1319.44,2,2,2,6,1
MV-17485,3195,9,1560.03,4,5,2,11,0
MV-18190,3187,7,1734.58,5,4,2,11,0
MW-18220,3185,7,5341.900000000001,5,4,5,14,0
MW-18235,3212,2,5253.88,4,1,5,10,1
MY-17380,3197,7,2254.29,4,4,3,11,0
MY-18295,3239,11,4152.7,3,5,4,12,0
MZ-17335,3198,4,593.61,4,2,1,7,1
MZ-17515,3450,6,2564.89,1,3,3,7,1
NB-18580,4333,2,273.87,1,1,1,3,3
NB-18655,3187,9,1972.61,5,5,3,13,0
NC-18340,3392,5,2461.41,2,2,3,7,1
NC-18415,3209,6,2218.9900000000002,4,3,3,10,1
NC-18535,3174,7,8241.74,5,4,5,14,2
NC-18625,3372,5,1821.75,2,2,3,7,1
ND-18370,3195,9,4326.14,4,5,5,14,0
ND-18460,3351,6,2893.46,2,3,4,9,1
NF-18385,3247,7,8322.82,3,4,5,12,2
NF-18475,3693,4,377.17,1,2,1,4,3
NF-18595,3282,7,2031.48,2,4,3,9,0
NG-18355,3216,5,1869.57,4,2,3,9,1
NG-18430,3216,5,1395.94,4,2,2,8,1
NH-18610,3357,7,2673.29,2,4,3,9,0
NK-18490,3238,7,572.0500000000001,3,4,1,8,1
NL-18310,3226,4,1418.0800000000002,3,2,2,7,1
NM-18445,3328,7,6459.34,2,4,5,11,2
NM-18520,3412,10,2161.98,1,5,3,9,0
NP-18325,3193,6,5529.62,5,3,5,13,0
NP-18670,3226,5,3908.4,3,2,4,9,1
NP-18685,3574,6,1228.7,1,3,2,6,3
NP-18700,3306,7,7903.18,2,4,5,11,2
NR-18550,3378,5,2367.27,2,2,3,7,1
NS-18505,3174,4,2575.87,5,2,3,10,1
NS-18640,3342,13,2964.82,2,5,4,11,0
NW-18400,3340,7,7234.02,2,4,5,11,2
NZ-18565,3253,9,2488.33,3,5,3,11,0
ON-18715,3578,9,1567.52,1,5,2,8,0
OT-18730,3233,5,3818.62,3,2,4,9,1
PA-19060,3271,6,729.41,3,3,1,7,1
PB-18805,3193,3,740.36,5,1,1,7,1
PB-19105,3225,4,688.3299999999999,3,2,1,6,1
PB-19150,3265,8,1456.95,3,4,2,9,0
PB-19210,3856,2,132.74,1,1,1,3,3
PC-18745,3170,4,1832.07,5,2,3,10,1
PC-19000,4050,2,1061.49,1,1,2,4,3
PF-19120,4003,4,9062.859999999999,1,2,5,8,3
PF-19165,3364,6,2770.0,2,3,4,9,1
PF-19225,3282,5,2206.12,2,2,3,7,1
PG-18820,3204,13,3086.9,4,5,4,13,0
PG-18895,3225,9,1987.15,3,5,3,11,0
PH-18790,3238,1,729.6500000000001,3,1,1,5,1
PJ-18835,3207,8,1220.1,4,4,2,10,0
PJ-19015,3302,7,1824.23,2,4,3,9,0
PK-18910,3651,2,1441.15,1,1,2,4,3
PK-19075,3177,12,8646.93,5,5,5,15,2
PL-18925,3183,5,239.49,5,2,1,8,1
PM-18940,3554,3,1405.3999999999999,1,1,2,4,3
PM-19135,3219,4,4115.66,4,2,4,10,1
PN-18775,3198,8,1467.16,4,4,2,10,0
PO-18850,3172,11,7473.839999999999,5,5,5,15,2
PO-18865,3168,7,2493.22,5,4,3,12,0
PO-19180,3328,9,4893.05,2,5,5,12,0
PO-19195,3254,5,1056.85,3,2,2,7,1
PP-18955,3265,10,7252.61,3,5,5,13,2
PR-18880,3204,5,1840.18,4,2,3,9,1
PS-18760,3275,6,2181.48,2,3,3,8,1
PS-18970,3237,8,1278.65,3,4,2,9,0
PS-19045,3404,7,6843.629999999999,1,4,5,10,2
PT-19090,3239,4,160.58,3,2,1,6,1
PV-18985,3257,5,2876.05,3,2,4,9,1
PW-19030,3214,10,3454.91,4,5,4,13,0
PW-19240,3632,7,3922.41,1,4,4,9,3
QJ-19255,3193,9,6108.34,5,5,5,15,0
RA-19285,3173,9,2617.89,5,5,3,13,0
RA-19885,3211,7,3832.3199999999997,4,4,4,12,0
RA-19915,3180,9,4793.53,5,5,5,15,0
RA-19945,3229,5,1686.93,3,2,2,7,1
RB-19330,3236,2,1008.2,3,1,2,6,1
RB-19360,3264,6,15117.349999999999,3,3,5,11,2
RB-19435,3187,8,2663.07,5,4,3,12,0
RB-19465,3177,12,4715.47,5,5,5,15,0
RB-19570,3193,5,528.53,5,2,1,8,1
RB-19645,3816,5,221.09,1,2,1,4,3
RB-19705,3222,4,2067.45,3,2,3,8,1
RB-19795,3200,8,5633.31,4,4,5,13,0
RC-19825,3537,6,966.4100000000001,1,3,2,6,3
RC-19960,3278,6,885.75,2,3,1,6,1
RD-19480,3240,8,4272.9400000000005,3,4,4,11,0
RD-19585,3348,10,2912.9,2,5,4,11,0
RD-19660,3282,5,2786.63,2,2,4,8,1
RD-19720,3189,10,1419.74,5,5,2,12,0
RD-19810,3182,8,1137.61,5,4,2,11,0
RD-19900,3282,9,3133.92,2,5,4,11,0
RD-19930,3210,4,970.95,4,2,2,8,1
RE-19405,4265,1,48.36,1,1,1,3,3
RE-19450,3470,5,876.7,1,2,1,4,1
RF-19345,3558,8,3309.14,1,4,4,9,0
RF-19735,3257,7,2341.3,3,4,3,10,0
RF-19840,3174,8,945.22,5,4,1,10,0
RH-19495,3200,5,3621.38,4,2,4,10,1
RH-19510,3635,6,6979.18,1,3,5,9,2
RH-19555,3687,2,740.39,1,1,1,3,3
RH-19600,3702,3,2085.74,1,1,3,5,3
RK-19300,3287,3,1460.19,2,1,2,5,1
RL-19615,3289,8,6234.91,2,4,5,11,0
RM-19375,3513,6,1453.47,1,3,2,6,1
RM-19675,3174,5,5979.089999999999,5,2,5,12,1
RM-19750,3467,1,98.35,1,1,1,3,3
RO-19780,3203,7,3815.4700000000003,4,4,4,12,0
RP-19270,3664,4,954.64,1,2,1,4,3
RP-19390,3201,12,5153.06,4,5,5,14,0
RP-19855,3196,8,2170.71,4,4,3,11,0
RR-19315,3187,2,615.9300000000001,5,1,1,7,1
RR-19525,3338,6,3302.2599999999998,2,3,4,9,1
RS-19420,3244,5,3221.29,3,2,4,9,1
RS-19765,3204,8,4159.77,4,4,4,12,0
RS-19870,3187,2,22.330000000000002,5,1,1,7,1
RW-19540,3288,7,7397.400000000001,2,4,5,11,2
RW-19630,3257,9,3279.75,3,5,4,12,0
RW-19690,3247,5,3495.64,3,2,4,9,1
SA-20830,3231,10,4767.34,3,5,5,13,0
SB-20170,3369,3,1348.02,2,1,2,5,1
SB-20185,3356,6,6411.0,2,3,5,10,2
SB-20290,3215,7,8057.89,4,4,5,13,2
SC-20020,3949,5,3362.96,1,2,4,7,3
SC-20050,3208,9,4624.57,4,5,5,14,0
SC-20095,3517,9,14142.340000000002,1,5,5,11,2
SC-20230,3317,4,4371.96,2,2,5,9,1
SC-20260,3355,8,3729.7999999999997,2,4,4,10,0
SC-20305,3197,7,3979.0600000000004,4,4,4,12,0
SC-20380,3198,9,5992.530000000001,4,5,5,14,0
SC-20440,3204,7,1875.0,4,4,3,11,0
SC-20575,3260,5,902.73,3,2,1,6,1
SC-20680,3294,6,1254.64,2,3,2,7,1
SC-20695,3257,10,2576.4,3,5,3,11,0
SC-20725,3355,11,5226.2,2,5,5,12,0
SC-20770,3209,7,4492.68,4,4,5,13,0
SC-20800,3198,4,279.25,4,2,1,7,1
SC-20845,3299,2,280.63,2,1,1,4,1
SD-20485,3368,9,6121.1,2,5,5,12,0
SE-20110,3177,11,12209.440000000002,5,5,5,15,2
SF-20065,3227,7,763.54,3,4,1,8,1
SF-20200,3227,9,3422.7799999999997,3,5,4,12,0
SF-20965,3216,9,3336.53,4,5,4,13,0
SG-20080,3176,3,3406.58,5,1,4,10,1
SG-20470,3351,8,1884.8000000000002,2,4,3,9,0
SG-20605,3276,6,3124.84,2,3,4,9,1
SG-20890,3394,3,47.95,1,1,1,3,1
SH-19975,3197,13,3406.86,4,5,4,13,0
SH-20395,3191,10,2180.7,5,5,3,13,0
SH-20635,3933,2,2096.3900000000003,1,1,3,5,3
SJ-20125,3263,12,3949.6499999999996,3,5,4,12,0
SJ-20215,3197,6,1341.04,4,3,2,9,1
SJ-20500,3421,5,1318.77,1,2,2,5,1
SK-19990,3176,3,883.4100000000001,5,1,1,7,1
SL-20155,3238,7,3053.01,3,4,4,11,0
SM-20005,3589,4,244.49,1,2,1,4,3
SM-20320,3247,5,25043.07,3,2,5,10,2
SM-20905,3774,1,1043.05,1,1,2,4,3
SM-20950,3193,12,5563.400000000001,5,5,5,15,0
SN-20560,3279,6,1860.42,2,3,3,8,1
SN-20710,3247,7,3127.97,3,4,4,11,0
SO-20335,3197,6,2602.58,4,3,3,10,1
SP-20545,3495,6,1306.09,1,3,2,6,1
SP-20620,3215,9,5440.32,4,5,5,14,0
SP-20650,3554,9,1872.4299999999998,1,5,3,9,0
SP-20860,3247,10,4282.92,3,5,5,13,0
SP-20920,3238,6,3990.6699999999996,3,3,4,10,0
SR-20425,3176,5,3233.48,5,2,4,11,1
SR-20740,3364,8,4345.88,2,4,5,11,0
SS-20140,3183,8,1324.03,5,4,2,11,0
SS-20410,3278,6,3056.81,2,3,4,9,1
SS-20515,3659,3,613.4,1,1,1,3,3
SS-20590,3600,6,418.49,1,3,1,5,3
SS-20875,3288,5,964.6300000000001,2,2,2,6,1
ST-20530,3293,7,433.34,2,4,1,7,1
SU-20665,3188,7,2595.38,5,4,3,12,0
SV-20365,3269,10,11470.939999999999,3,5,5,13,2
SV-20785,3488,9,4105.32,1,5,4,10,0
SV-20815,3244,4,1271.0900000000001,3,2,2,7,1
SV-20935,3170,8,1903.49,5,4,3,12,0
SW-20245,3249,7,1085.06,3,4,2,9,1
SW-20275,3198,6,1966.65,4,3,3,10,1
SW-20350,3330,3,1019.04,2,1,2,5,1
SW-20455,3330,7,2921.54,2,4,4,10,0
SW-20755,3702,2,758.6899999999999,1,1,1,3,3
SZ-20035,3203,11,3625.34,4,5,4,13,0
TA-21385,3237,4,14595.619999999999,3,2,5,10,2
TB-21055,3287,5,1467.89,2,2,2,6,1
TB-21175,3226,4,3589.2899999999995,3,2,4,9,1
TB-21190,3217,4,816.1700000000001,4,2,1,7,1
TB-21250,3517,7,1602.3700000000001,1,4,2,7,1
TB-21280,3751,6,2198.46,1,3,3,7,3
TB-21355,3314,5,834.33,2,2,1,5,1
TB-21400,3370,7,9133.99,2,4,5,11,2
TB-21520,3275,9,4737.48,2,5,5,12,0
TB-21595,3453,5,1387.5700000000002,1,2,2,5,1
TB-21625,3198,9,2797.68,4,5,4,13,0
TC-20980,3567,5,19052.22,1,2,5,8,2
TC-21145,3274,1,1038.26,2,1,2,5,1
TC-21295,3195,8,4266.8099999999995,4,4,4,12,0
TC-21475,3321,9,1244.98,2,5,2,9,0
TC-21535,3172,7,742.5500000000001,5,4,1,10,1
TD-20995,3205,9,1434.56,4,5,2,11,0
TG-21310,3505,5,3058.38,1,3,4,8,1
TG-21640,3282,4,2074.67,2,2,3,7,1
TH-21100,3512,5,2422.83,1,3,3,7,3
TH-21115,3226,4,2942.78,3,2,4,9,1
TH-21235,3285,8,1022.21,2,4,2,8,0
TH-21550,3240,7,4234.1,3,4,4,11,0
TM-21010,3271,8,2955.23,3,4,4,11,0
TM-21490,3298,3,1094.6799999999998,2,1,2,5,1
TN-21040,3258,7,3130.23,3,4,4,11,0
TP-21130,3176,9,4454.06,5,5,5,15,0
TP-21415,3272,5,5328.98,2,3,5,10,1
TP-21565,3518,4,1936.62,1,2,3,6,3
TR-21325,3361,5,675.9399999999999,2,3,1,6,1
TS-21085,3525,2,4.84,1,1,1,3,3
TS-21160,3672,6,2163.63,1,3,3,7,3
TS-21205,3366,7,5371.11,2,4,5,11,0
TS-21340,3394,5,974.78,1,3,2,6,1
TS-21370,3204,6,11891.75,4,3,5,12,2
TS-21430,3340,5,2054.14,2,3,3,8,1
TS-21505,3179,6,2243.28,5,3,3,11,1
TS-21610,3223,7,2820.42,3,4,4,11,0
TS-21655,3406,5,3368.08,1,3,4,8,1
TT-21070,3199,7,4915.59,4,4,5,13,0
TT-21220,3351,8,1427.05,2,4,2,8,0
TT-21265,3574,3,439.5,1,1,1,3,3
TT-21460,3180,7,5364.8,5,4,5,14,0
TW-21025,3232,7,5278.82,3,4,5,12,0
TZ-21580,3203,4,1707.28,4,2,2,8,1
VB-21745,3222,6,2005.59,3,3,3,9,1
VD-21670,3749,6,6442.26,1,3,5,9,3
VF-21715,3181,5,847.95,5,3,1,9,1
VG-21790,3322,6,846.02,2,3,1,6,1
VG-21805,3454,5,427.37,1,3,1,5,1
VM-21685,3222,7,2454.87,3,4,3,10,0
VM-21835,3285,5,380.69,2,3,1,6,1
VP-21730,3198,3,993.9,4,1,2,7,1
VP-21760,3243,7,3360.54,3,4,4,11,0
VS-21820,3389,4,1055.99,2,2,2,6,1
VT-21700,4168,2,1736.6,1,1,2,4,3
VW-21775,3196,10,6134.040000000001,4,5,5,14,0
WB-21850,3188,11,6160.1,5,5,5,15,0
XP-21865,3211,11,2374.66,4,5,3,12,0
YC-21895,3172,5,5454.35,5,3,5,13,1
YS-21880,3177,8,6720.4400000000005,5,4,5,14,2
ZC-21910,3222,13,8025.7,3,5,5,13,2
ZD-21925,3370,5,1493.94,2,3,2,7,1
